Emp_ID,First_Name,Last_Name,Full Name,Gender,State,City,Education,BirthDate,Hiredate,Termdate,Department,Job Title,Salary,Performance Rating,Effective_TermDate,Age
00-49392920,Erin,Carlson,Erin Carlson,Male,New York,New York City,Bachelor,20/03/1984,30/05/2019,29/04/2021,Operations,Logistics Coordinator,67437,Excellent,29/04/2021,41
00-45351479,Patrick,Ferrell,Patrick Ferrell,Female,Michigan,Detroit,PhD,20/05/1969,24/07/2018,20/01/2019,Sales,Sales Consultant,116328,Excellent,20/01/2019,56
00-24282218,John,Tran,John Tran,Male,Virginia,Norfolk,Bachelor,15/01/1972,05/01/2017,25/01/2018,Operations,Logistics Coordinator,67630,Satisfactory,25/01/2018,53
00-95758349,Erin,Wilson,Erin Wilson,Female,New York,New York City,Bachelor,15/08/1981,09/12/2020,11/12/2021,Operations,Logistics Coordinator,53898,Good,11/12/2021,43
00-60185867,Amanda,Adams,Amanda Adams,Female,New York,New York City,Bachelor,10/11/2003,06/09/2022,05/03/2023,Sales,Sales Specialist,61534,Good,05/03/2023,21
00-81182864,Matthew,Carter,Matthew Carter,Male,New York,New York City,High School,26/11/1979,02/03/2024,19/09/2024,Marketing,SEO Specialist,78184,Needs Improvement,19/09/2024,45
00-75579548,Shawn,Mckay,Shawn Mckay,Female,New York,New York City,Bachelor,18/04/1980,07/12/2015,13/03/2023,Operations,Inventory Specialist,56559,Good,13/03/2023,45
00-51273847,Jennifer,Stanton,Jennifer Stanton,Male,New York,New York City,Bachelor,09/12/1959,23/10/2017,02/12/2018,Customer Service,Support Specialist,68635,Satisfactory,02/12/2018,65
00-20570592,Guy,Gaines,Guy Gaines,Male,New York,New York City,Bachelor,15/10/2002,04/12/2016,,Sales,Sales Representative,80367,Satisfactory,22/06/2025,22
00-19289546,Colleen,Skinner,Colleen Skinner,Female,New York,New York City,Bachelor,01/12/1981,16/07/2018,12/01/2019,Operations,Inventory Specialist,63169,Good,12/01/2019,43
00-26879290,Chelsea,Hernandez,Chelsea Hernandez,Female,Pennsylvania,Philadelphia,Master,19/10/1982,23/10/2016,05/06/2019,Sales,Sales Consultant,71142,Good,05/06/2019,42
00-32162965,Evan,Ashley,Evan Ashley,Male,New York,New York City,High School,16/09/1983,25/12/2017,07/12/2018,Operations,Inventory Specialist,58830,Needs Improvement,07/12/2018,41
00-38427073,Alyssa,Smith,Alyssa Smith,Female,Michigan,Grand Rapids,Bachelor,24/04/1970,05/05/2024,01/11/2024,Customer Service,Customer Service Representative,66218,Satisfactory,01/11/2024,55
00-36998038,Tracy,Rodriguez,Tracy Rodriguez,Female,New York,New York City,High School,07/11/1979,21/05/2022,17/11/2022,Marketing,SEO Specialist,88887,Needs Improvement,17/11/2022,45
00-97225156,Natasha,Decker,Natasha Decker,Male,New York,New York City,PhD,05/08/1959,30/04/2018,16/11/2023,Sales,Sales Consultant,72859,Excellent,16/11/2023,65
00-26240908,John,Allen,John Allen,Male,New York,New York City,Bachelor,15/01/1985,09/08/2017,05/02/2018,Operations,Logistics Coordinator,67630,Excellent,05/02/2018,40
00-12823170,Stacey,Miller,Stacey Miller,Male,New York,New York City,Bachelor,21/06/1991,07/07/2020,14/12/2024,Operations,Inventory Specialist,61574,Excellent,14/12/2024,34
00-39557077,Lisa,Spence,Lisa Spence,Male,New York,New York City,Master,25/08/1970,26/07/2015,18/12/2023,IT,Software Developer,103756,Excellent,18/12/2023,54
00-17901903,Katie,Anderson,Katie Anderson,Male,New York,New York City,Bachelor,26/12/1980,04/07/2017,29/12/2021,Operations,Logistics Coordinator,63227,Excellent,29/12/2021,44
00-54349361,Stacey,Martin,Stacey Martin,Male,New York,New York City,High School,27/03/1993,23/07/2016,,Operations,Inventory Specialist,63680,Needs Improvement,22/06/2025,32
00-99788677,Monique,Henderson,Monique Henderson,Female,New York,New York City,Bachelor,24/06/1967,24/03/2019,20/09/2019,Customer Service,Help Desk Technician,90880,Satisfactory,20/09/2019,58
00-86644106,Sarah,Campos,Sarah Campos,Female,Pennsylvania,Philadelphia,High School,08/06/1983,24/09/2020,02/09/2022,Marketing,Content Creator,52954,Excellent,02/09/2022,42
00-73481353,James,Collins,James Collins,Female,New York,New York City,Bachelor,16/05/1977,18/09/2017,16/03/2018,Operations,Inventory Specialist,64475,Good,16/03/2018,48
00-23009833,Debra,Kim,Debra Kim,Female,Pennsylvania,Allentown,PhD,27/01/1980,21/07/2022,17/01/2023,Sales,Sales Specialist,93238,Excellent,17/01/2023,45
00-65177213,Shannon,Wright,Shannon Wright,Female,Michigan,Grand Rapids,High School,04/12/2002,25/01/2019,12/12/2022,Operations,Inventory Specialist,58713,Needs Improvement,12/12/2022,22
00-97705310,Matthew,Chapman,Matthew Chapman,Female,New York,New York City,Bachelor,19/09/1969,30/03/2024,26/09/2024,IT,Software Developer,91896,Needs Improvement,26/09/2024,55
00-64038913,Brianna,Smith,Brianna Smith,Male,New York,New York City,Bachelor,18/01/1974,02/10/2022,31/03/2023,Operations,Inventory Specialist,71608,Excellent,31/03/2023,51
00-35714784,Crystal,Perez,Crystal Perez,Female,New York,New York City,Bachelor,07/07/1983,18/12/2017,16/06/2018,Finance,Financial Analyst,71404,Satisfactory,16/06/2018,41
00-66623995,Anthony,Rivera,Anthony Rivera,Male,New York,New York City,Bachelor,04/02/1992,19/07/2017,16/05/2021,Operations,Logistics Coordinator,59423,Good,16/05/2021,33
00-20117988,John,Caldwell,John Caldwell,Female,New York,New York City,Bachelor,19/10/1982,25/03/2019,21/09/2019,Operations,Operations Analyst,64183,Needs Improvement,21/09/2019,42
00-16789850,Amber,Cummings,Amber Cummings,Male,New York,New York City,Master,11/07/1986,09/12/2022,07/06/2023,Operations,Operations Analyst,76824,Excellent,07/06/2023,38
00-11980765,Ashley,Kennedy,Ashley Kennedy,Female,New York,New York City,Bachelor,24/03/2003,31/10/2018,29/04/2019,Finance,Accountant,54093,Satisfactory,29/04/2019,22
00-64547971,Thomas,Russell,Thomas Russell,Male,New York,New York City,Bachelor,04/01/1964,06/02/2019,05/03/2021,Finance,Accountant,95124,Needs Improvement,05/03/2021,61
00-63826716,Collin,Jordan,Collin Jordan,Female,New York,New York City,Master,13/09/1965,14/06/2023,11/12/2023,Sales,Sales Specialist,68345,Excellent,11/12/2023,59
00-10289289,Robert,Shields,Robert Shields,Female,New York,New York City,Bachelor,29/07/1978,22/01/2024,20/07/2024,Customer Service,Help Desk Technician,61403,Good,20/07/2024,46
00-71070189,Emily,Joyce,Emily Joyce,Male,New York,New York City,Bachelor,29/08/1988,08/02/2017,27/08/2023,Operations,Inventory Specialist,60320,Good,27/08/2023,36
00-84593961,Bruce,Chandler,Bruce Chandler,Female,New York,New York City,High School,29/01/1966,07/11/2022,06/05/2023,Operations,Inventory Specialist,55060,Excellent,06/05/2023,59
00-35487660,Michelle,Wright,Michelle Wright,Male,New York,New York City,Master,22/07/1963,15/03/2017,06/05/2018,Operations,Operations Manager,82834,Excellent,06/05/2018,61
00-82772208,Amanda,Taylor,Amanda Taylor,Female,New York,New York City,PhD,10/07/1988,12/03/2016,17/11/2016,Finance,Financial Analyst,76564,Excellent,17/11/2016,36
00-16729990,Joshua,Wright,Joshua Wright,Male,New York,New York City,Bachelor,07/10/1991,24/12/2020,30/07/2024,Finance,Accountant,63056,Good,30/07/2024,33
00-81286543,Charles,Morton,Charles Morton,Male,New York,New York City,Bachelor,12/09/1984,29/11/2017,28/05/2018,Finance,Accountant,78616,Satisfactory,28/05/2018,40
00-34941004,Andrea,Williams,Andrea Williams,Male,New York,New York City,High School,29/04/1960,28/07/2016,,Operations,Inventory Specialist,57716,Needs Improvement,22/06/2025,65
00-41568532,Mary,Novak,Mary Novak,Female,New York,New York City,Bachelor,12/06/1981,26/12/2019,23/06/2020,Operations,Logistics Coordinator,61198,Satisfactory,23/06/2020,44
00-87701200,Karen,Young,Karen Young,Male,New York,New York City,Bachelor,23/06/2001,06/06/2020,03/12/2020,IT,IT Support Specialist,58331,Excellent,03/12/2020,24
00-66267415,Todd,Lewis,Todd Lewis,Female,Ohio,Cincinnati,Bachelor,24/02/1966,05/06/2022,06/11/2024,Operations,Logistics Coordinator,62398,Good,06/11/2024,59
00-52462441,Rachel,Martin,Rachel Martin,Male,New York,New York City,Bachelor,25/08/1984,01/01/2024,29/06/2024,Sales,Sales Consultant,94930,Excellent,29/06/2024,40
00-52169044,Tricia,Baker,Tricia Baker,Female,New York,New York City,Bachelor,26/06/1998,01/11/2017,06/03/2021,Customer Service,Customer Service Representative,59179,Good,06/03/2021,27
00-96637649,Kristen,Mitchell,Kristen Mitchell,Male,North Carolina,Greensboro,Bachelor,16/05/1976,28/09/2017,06/02/2024,Operations,Logistics Coordinator,74555,Good,06/02/2024,49
00-19736572,Susan,Cowan,Susan Cowan,Male,New York,New York City,PhD,02/10/1989,04/08/2015,,Sales,Sales Manager,74371,Excellent,22/06/2025,35
00-23419256,Dorothy,Tucker,Dorothy Tucker,Female,New York,New York City,Bachelor,17/08/1990,14/03/2016,10/09/2016,Marketing,SEO Specialist,81253,Excellent,10/09/2016,34
00-45594597,Kenneth,Novak,Kenneth Novak,Female,New York,New York City,High School,30/09/1988,13/08/2017,10/03/2020,Customer Service,Customer Service Representative,56922,Needs Improvement,10/03/2020,36
00-42787299,Jill,Brown,Jill Brown,Female,New York,New York City,Bachelor,13/06/1982,02/05/2018,12/03/2020,Marketing,Content Creator,65108,Satisfactory,12/03/2020,43
00-82909480,Brian,Silva,Brian Silva,Female,New York,New York City,Bachelor,31/10/1975,15/07/2022,11/01/2023,Operations,Logistics Coordinator,61958,Good,11/01/2023,49
00-97775215,Samantha,Schmidt,Samantha Schmidt,Female,New York,New York City,Bachelor,11/01/1999,23/01/2020,30/07/2022,Customer Service,Support Specialist,55038,Good,30/07/2022,26
00-84437458,Susan,Miller,Susan Miller,Female,New York,New York City,Master,06/02/2002,14/03/2017,20/04/2023,HR,HR Coordinator,63666,Excellent,20/04/2023,23
00-28024248,Casey,Jones,Casey Jones,Female,New York,New York City,High School,09/11/1979,01/12/2017,11/02/2021,Customer Service,Help Desk Technician,58264,Excellent,11/02/2021,45
00-84252420,Joe,Wilson,Joe Wilson,Male,New York,New York City,Bachelor,06/02/2003,12/12/2017,27/09/2022,Sales,Sales Representative,65128,Satisfactory,27/09/2022,22
00-38270233,Ashley,Riley,Ashley Riley,Male,New York,New York City,Master,05/08/1967,16/01/2022,15/07/2022,Sales,Sales Consultant,69316,Excellent,15/07/2022,57
00-95125977,Christine,Barnes,Christine Barnes,Male,New York,New York City,High School,22/10/1992,15/08/2017,11/02/2018,Operations,Inventory Specialist,56431,Needs Improvement,11/02/2018,32
00-43704923,Annette,Stewart,Annette Stewart,Male,New York,New York City,Bachelor,19/06/1997,12/04/2023,09/10/2023,Sales,Sales Representative,79043,Good,09/10/2023,28
00-95132217,James,Moran,James Moran,Female,New York,New York City,Bachelor,29/10/1988,03/04/2019,03/09/2024,Marketing,Marketing Coordinator,59137,Good,03/09/2024,36
00-10475894,Joseph,Anderson,Joseph Anderson,Male,New York,New York City,Bachelor,23/12/1982,08/09/2018,16/07/2019,IT,Software Developer,89897,Good,16/07/2019,42
00-45159040,Kevin,Stewart,Kevin Stewart,Female,New York,New York City,Bachelor,31/08/1984,19/10/2017,02/02/2021,IT,Software Developer,80501,Good,02/02/2021,40
00-67403166,Shari,Smith,Shari Smith,Male,Michigan,Detroit,Master,05/04/1984,29/08/2020,25/02/2021,Operations,Operations Analyst,83772,Good,25/02/2021,41
00-30005727,Yolanda,Ferrell,Yolanda Ferrell,Male,New York,New York City,Master,05/10/1982,29/01/2020,27/07/2020,Operations,Operations Analyst,55106,Excellent,27/07/2020,42
00-84158663,Amanda,Wagner,Amanda Wagner,Male,New York,New York City,Bachelor,02/10/1987,21/02/2017,,IT,Software Developer,88492,Good,22/06/2025,37
00-51373735,Sarah,Ibarra,Sarah Ibarra,Male,New York,New York City,High School,28/07/1976,08/12/2018,25/04/2021,Customer Service,Help Desk Technician,82441,Needs Improvement,25/04/2021,48
00-38195995,John,Mitchell,John Mitchell,Male,Michigan,Warren,Bachelor,27/09/1962,20/06/2022,17/12/2022,Finance,Accountant,85555,Good,17/12/2022,62
00-57469942,Martha,Warner,Martha Warner,Female,New York,New York City,Bachelor,01/08/1989,26/08/2017,22/02/2018,Sales,Sales Consultant,64372,Satisfactory,22/02/2018,35
00-30743797,Tonya,Roman,Tonya Roman,Female,Michigan,Grand Rapids,Bachelor,15/03/1971,24/07/2018,20/01/2019,Customer Service,Customer Service Representative,63278,Good,20/01/2019,54
00-31810617,Alan,Montoya,Alan Montoya,Male,Virginia,Virginia Beach,Bachelor,03/02/1998,26/04/2024,23/10/2024,Marketing,Content Creator,65358,Needs Improvement,23/10/2024,27
00-13326769,Sarah,Garcia,Sarah Garcia,Male,Michigan,Grand Rapids,Bachelor,03/12/1983,08/12/2017,06/06/2018,IT,System Administrator,77267,Good,06/06/2018,41
00-65259205,Dennis,Wilson,Dennis Wilson,Female,New York,New York City,Bachelor,08/03/2002,11/02/2023,10/08/2023,Sales,Sales Representative,51865,Good,10/08/2023,23
00-43308443,Julia,Moore,Julia Moore,Male,New York,New York City,Master,23/09/1970,20/04/2017,19/12/2024,IT,System Administrator,92780,Excellent,19/12/2024,54
00-61343880,Cassandra,Robbins,Cassandra Robbins,Female,Pennsylvania,Allentown,Bachelor,05/05/1992,21/03/2023,17/09/2023,Customer Service,Customer Service Representative,52588,Good,17/09/2023,33
00-36786211,Grace,Farrell,Grace Farrell,Female,Michigan,Detroit,Bachelor,23/06/1972,16/07/2023,12/01/2024,Operations,Inventory Specialist,64186,Good,12/01/2024,53
00-50962024,Tracy,Whitehead,Tracy Whitehead,Male,New York,New York City,High School,26/05/1978,25/11/2017,23/05/2018,Operations,Inventory Specialist,61124,Needs Improvement,23/05/2018,47
00-13176186,Brent,Walters,Brent Walters,Female,New York,New York City,High School,17/07/1982,19/11/2022,18/05/2023,HR,Recruiter,65797,Needs Improvement,18/05/2023,42
00-47393469,Joshua,Smith,Joshua Smith,Female,Illinois,Aurora,Master,25/01/2001,27/10/2023,24/04/2024,Sales,Sales Manager,114050,Good,24/04/2024,24
00-96098221,David,Whitney,David Whitney,Female,New York,New York City,High School,13/10/1975,03/03/2020,30/08/2020,Customer Service,Help Desk Technician,64313,Excellent,30/08/2020,49
00-81969657,Joyce,Arnold,Joyce Arnold,Male,Michigan,Grand Rapids,Bachelor,11/09/1989,16/06/2018,07/04/2022,Customer Service,Support Specialist,63557,Satisfactory,07/04/2022,35
00-45059710,Ann,Rodriguez,Ann Rodriguez,Male,Michigan,Detroit,High School,29/11/1985,09/12/2017,12/06/2019,Operations,Inventory Specialist,59128,Needs Improvement,12/06/2019,39
00-24549543,Hannah,Hernandez,Hannah Hernandez,Female,New York,New York City,High School,28/02/1989,14/01/2020,12/07/2020,Customer Service,Support Specialist,54770,Needs Improvement,12/07/2020,36
00-52101056,Mary,Aguilar,Mary Aguilar,Male,New York,New York City,Bachelor,04/04/2001,27/02/2019,26/08/2019,Customer Service,Support Specialist,64438,Satisfactory,26/08/2019,24
00-61700055,Russell,Williams,Russell Williams,Female,New York,New York City,High School,19/06/1970,22/05/2023,18/11/2023,HR,Recruiter,58119,Needs Improvement,18/11/2023,55
00-15957459,Rachel,Flynn,Rachel Flynn,Female,North Carolina,Raleigh,High School,21/05/1976,01/12/2022,30/05/2023,Customer Service,Help Desk Technician,82922,Needs Improvement,30/05/2023,49
00-82269803,Bill,Howard,Bill Howard,Female,New York,New York City,Bachelor,23/02/1972,22/09/2022,21/03/2023,Marketing,Marketing Coordinator,74811,Satisfactory,21/03/2023,53
00-36445607,John,Garcia,John Garcia,Male,North Carolina,Greensboro,PhD,22/11/1982,30/10/2018,25/08/2021,Finance,Financial Analyst,93475,Excellent,25/08/2021,42
00-54318698,Anita,Baxter,Anita Baxter,Male,Ohio,Cleveland,High School,06/01/2002,30/08/2021,26/02/2022,Customer Service,Customer Service Representative,59676,Needs Improvement,26/02/2022,23
00-26726926,Kara,Frost,Kara Frost,Male,New York,New York City,Bachelor,21/12/1967,02/04/2022,29/09/2022,Sales,Sales Representative,77283,Needs Improvement,29/09/2022,57
00-51511484,Michelle,Cherry,Michelle Cherry,Male,New York,New York City,Bachelor,11/01/1980,11/11/2022,10/05/2023,Marketing,Content Creator,62224,Satisfactory,10/05/2023,45
00-49682169,Gregory,Gutierrez,Gregory Gutierrez,Male,New York,New York City,Bachelor,22/02/1997,10/03/2020,06/09/2020,Operations,Logistics Coordinator,68683,Needs Improvement,06/09/2020,28
00-99245317,Jill,Cook,Jill Cook,Female,New York,New York City,High School,18/01/1967,27/12/2018,25/06/2019,Customer Service,Customer Service Representative,63830,Needs Improvement,25/06/2019,58
00-33357554,Robert,Santiago,Robert Santiago,Male,New York,New York City,Master,09/09/1998,13/10/2021,11/04/2022,Sales,Sales Specialist,75850,Excellent,11/04/2022,26
00-83542887,Lisa,Adams,Lisa Adams,Male,New York,New York City,High School,13/12/1995,02/11/2017,30/04/2018,Customer Service,Help Desk Technician,82965,Excellent,30/04/2018,29
00-38210242,Jacqueline,Reyes,Jacqueline Reyes,Female,New York,New York City,Bachelor,15/12/1973,16/01/2019,15/07/2019,Operations,Logistics Coordinator,54011,Good,15/07/2019,51
00-97873101,Michele,Walker,Michele Walker,Male,New York,New York City,Bachelor,15/05/1979,14/11/2018,04/02/2022,Sales,Sales Representative,80131,Good,04/02/2022,46
00-38682516,Samantha,Bailey,Samantha Bailey,Female,New York,New York City,Bachelor,12/05/2000,14/11/2020,13/05/2021,Operations,Inventory Specialist,55778,Good,13/05/2021,25
00-98429450,Laura,Perez,Laura Perez,Male,New York,New York City,PhD,11/10/1965,10/01/2016,20/10/2021,Sales,Sales Consultant,88444,Excellent,20/10/2021,59
00-94951883,Donna,Ross,Donna Ross,Female,New York,New York City,Bachelor,06/11/1969,19/04/2021,27/04/2022,Sales,Sales Representative,75303,Good,27/04/2022,55
00-41523529,Michelle,Rasmussen,Michelle Rasmussen,Female,North Carolina,Greensboro,Master,23/10/1999,19/04/2022,16/10/2022,IT,Software Developer,98297,Excellent,16/10/2022,25
00-36726767,Michael,Hicks,Michael Hicks,Male,Illinois,Chicago,Bachelor,14/01/1999,21/09/2017,01/04/2024,Sales,Sales Representative,65506,Good,01/04/2024,26
00-73771720,Tina,Herrera,Tina Herrera,Male,New York,New York City,PhD,11/09/1991,11/01/2021,10/07/2021,Finance,Financial Analyst,86731,Excellent,10/07/2021,33
00-65625330,Darrell,Waller,Darrell Waller,Male,New York,New York City,Bachelor,07/12/1973,11/03/2023,07/09/2023,Sales,Sales Representative,78643,Satisfactory,07/09/2023,51
00-61536717,Beverly,Terrell,Beverly Terrell,Female,Michigan,Warren,Bachelor,01/01/1976,15/01/2020,13/07/2020,Customer Service,Customer Service Representative,64159,Good,13/07/2020,49
00-98054615,Daniel,Hamilton,Daniel Hamilton,Male,New York,New York City,Bachelor,12/01/1982,10/10/2022,08/04/2023,Sales,Sales Representative,66358,Good,08/04/2023,43
00-67062156,Kristin,Graham,Kristin Graham,Female,Michigan,Warren,Bachelor,18/08/1982,18/07/2017,22/11/2021,Operations,Inventory Specialist,57185,Good,22/11/2021,42
00-72350830,Darrell,Lam,Darrell Lam,Female,New York,New York City,Bachelor,16/06/1993,14/03/2016,25/07/2018,IT,IT Support Specialist,57924,Excellent,25/07/2018,32
00-26288475,Jonathan,Fletcher,Jonathan Fletcher,Female,New York,New York City,Bachelor,05/06/1971,01/01/2019,20/08/2024,Operations,Inventory Specialist,57730,Satisfactory,20/08/2024,54
00-81287314,April,Drake,April Drake,Female,New York,New York City,High School,15/10/1975,23/09/2018,22/03/2019,Operations,Inventory Specialist,56753,Needs Improvement,22/03/2019,49
00-69401199,Jennifer,Harmon,Jennifer Harmon,Male,New York,New York City,Bachelor,05/07/1975,18/09/2021,17/03/2022,Sales,Sales Representative,62015,Good,17/03/2022,50
00-67276174,James,Reynolds,James Reynolds,Male,New York,New York City,Bachelor,09/01/1997,15/09/2017,13/03/2018,Operations,Operations Analyst,82241,Needs Improvement,13/03/2018,28
00-31361812,Samantha,Hanson,Samantha Hanson,Female,New York,New York City,PhD,24/01/1983,15/09/2022,14/03/2023,Sales,Sales Consultant,87980,Excellent,14/03/2023,42
00-44788100,Melanie,Cortez,Melanie Cortez,Female,New York,New York City,Bachelor,21/02/1987,27/04/2022,24/10/2022,Sales,Sales Representative,68240,Good,24/10/2022,38
00-79967676,William,Estrada,William Estrada,Male,New York,New York City,Bachelor,04/03/1985,07/05/2019,24/08/2020,Operations,Operations Manager,109148,Good,24/08/2020,40
00-69038700,Richard,Phillips,Richard Phillips,Female,New York,New York City,Bachelor,04/10/2001,19/02/2016,,Operations,Operations Analyst,77304,Satisfactory,22/06/2025,23
00-46468984,James,Ortega,James Ortega,Male,New York,New York City,Bachelor,09/11/1980,28/05/2018,13/05/2024,Sales,Sales Specialist,71634,Satisfactory,13/05/2024,44
